text#answer
Контакты кафедры прикладной математики и программирования#Факультет математики, механики и компьютерных наук, Мильчакова 8а, к. 210; Страница кафедры на сайте ЮФУ, тел.: 2975 114 (115, 116, 117) перейти в тональный режим набора (*) 210
Руководство кафедры прикладной математики и программирования#проф., д.ф-м.н. Угольницкий Геннадий Анатольевич
Основные направления кафедры прикладной математики и программирования#Системный анализ, Математическое моделирование, Информационные технологии в экологии, экономике и управлении организациями. В 2014 – 2016 гг. выполняется проект «Информационные технологии, математические модели и системы управления устойчивым развитием организационных систем и финансовых рынков», поддержанный внутренним грантом ЮФУ, с участием студентов и аспирантов
Научные школы кафедры прикладной математики и программирования#Научная школа: Математическое моделирование и информационные технологии управления устойчивым развитием активных систем
Основные курсы кафедры прикладной математики и программирования#Информатика, Языки программирования и методы трансляции, Системное и прикладное программное обеспечение, Компьютерная графика, Базы данных, Компьютерные сети (мехмат),
Специальные курсы кафедры прикладной математики и программирования#3 курс: Моделирование динамических систем (Усов А.Б.), WEB-технологии (Демяненко Я.М.), Пользовательский интерфейс JAVA (Чердынцева М.И.). 4 курс: Технологии JAVA (Чердынцева М.И.), Искусственный интеллект (Пучкин М.В.), Математическая экология (Угольницкий Г.А.), Объектно-ориентированное программирование на С++ (Демяненко Я.М.). 1 год магистратуры: Теоретико-игровые модели и приложения (Угольницкий Г.А.), Дискретные модели системного анализа (Угольницкий Г.А.), Модели информационных процессов (Чердынцева М.И.), Разработка и стандартизация программных средств (Бойко В.В.), Методы анализа организаций и моделирования бизнес-процессов (Калачев В.Ю.). 2 год магистратуры: Корпоративные информационные системы (Антоненко А.В.), Модели контрактов и распределения ресурсов (Усов А.Б., Горбанева О.И.)
Специальности аспирантов и докторантов, которых готовит кафедра прикладной математики и программирования#Д.т.н. Усов А.Б. (2008), конс. Угольницкий Г.А., К.т.н. Чораян Г.О. (2000), рук. Угольницкий Г.А., К.т.н. Латуш Е.М. (2001), рук. Угольницкий Г.А., К.т.н. Агиева М.Т. (2003), рук. Угольницкий Г.А., К.ф.-м.н. Мальсагов М.Х. (2006), рук. Угольницкий Г.А., К.ф.-м.н. Дубров Д.В. (2006), рук. Угольницкий Г.А., К.ф.-м.н. Горбанева О.И. (2009), рук. Угольницкий Г.А., К.т.н. Тихонов С.В. (2009), рук.Угольницкий Г.А., К.ф.-м.н. Денин К.И. (2010), рук. Угольницкий Г.А., К.т.н. Антоненко А.В. (2011), рук. Угольницкий Г.А.. Работа со школьниками: , Участие в жюри и организация областных олимпиад по информатике, Участие в в жюри и организация олимпиад по информатике ЮФУ
Преподавательский состав кафедры прикладной математики и программирования#Угольницкий Геннадий Анатольевич, зав. каф., профессор, д.ф.-м.н., Амелина Наталья Ивановна , старш. преп., Антоненко Андрей Валерьевич — ассистент, к.т.н., Бойко Виктория Васильевна, старш. преп., к.т.н., Горбанева Ольга Ивановна — ст. преподаватель, к.ф.-м.н, Пасечный Леонид Георгиевич, старш. преп., Пучкин Максим Валентинович, ассистент, Демяненко Яна Михайловна, доцент, к.т.н., Усов Анатолий Борисович — профессор, д.т.н., Чердынцева Марина Игорьевна — доцент, к.т.н., Евдокимова Ирина Владимировна, учебный мастер
